time,coin,source,rank,mentions
2026-09-25 22:37,TRUMP,coingecko,1,
2026-09-25 22:37,ENA,coingecko,4,
2026-09-25 22:37,NEAR,coingecko,5,
2026-09-25 22:37,ONDO,coingecko,6,
2026-09-25 22:37,PENGU,coingecko,7,
2026-09-25 22:37,AERO,coingecko,8,
2026-09-25 22:37,SUI,coingecko,10,
2026-09-25 22:37,STONK,coingecko,11,
2026-09-25 22:37,PONS,coingecko,12,
2026-09-25 22:37,XRP,coingecko,13,
2026-09-25 22:37,XPL,coingecko,15,
2026-09-25 22:37,STONK,geckoterminal_5m,10,
2026-09-25 22:37,PUMP,geckoterminal_5m,11,
2026-09-25 22:37,AERO,geckoterminal_1h,13,
2026-09-25 22:37,CASHCAT,geckoterminal_1h,14,
2026-09-25 22:37,PONS,geckoterminal_1h,17,
2026-09-25 22:37,PONS,geckoterminal_1h,18,
2026-09-25 23:01,TRUMP,coingecko,1,
2026-09-25 23:01,NEAR,coingecko,2,
2026-09-25 23:01,ONDO,coingecko,5,
2026-09-25 23:01,ENA,coingecko,6,
2026-09-25 23:01,PENGU,coingecko,7,
2026-09-25 23:01,AERO,coingecko,8,
2026-09-25 23:01,SUI,coingecko,10,
2026-09-25 23:01,JUP,coingecko,12,
2026-09-25 23:01,TAO,coingecko,13,
2026-09-25 23:01,AVAX,coingecko,14,
2026-09-25 23:01,PONS,coingecko,15,
2026-09-25 23:01,STONK,geckoterminal_5m,10,
2026-09-25 23:01,ARB,geckoterminal_5m,15,
2026-09-25 23:01,AERO,geckoterminal_5m,16,
2026-09-25 23:01,AERO,geckoterminal_5m,17,
2026-09-25 23:01,AERO,geckoterminal_1h,12,
2026-09-25 23:01,CASHCAT,geckoterminal_1h,14,
2026-09-25 23:01,STONK,geckoterminal_1h,16,
2026-09-25 23:01,PONS,geckoterminal_1h,19,
2026-09-25 23:08,TRUMP,coingecko,1,
2026-09-25 23:08,NEAR,coingecko,4,
2026-09-25 23:08,PENGU,coingecko,5,
2026-09-25 23:08,ONDO,coingecko,6,
2026-09-25 23:08,ENA,coingecko,7,
2026-09-25 23:08,AERO,coingecko,8,
2026-09-25 23:08,STONK,coingecko,10,
2026-09-25 23:08,TAO,coingecko,11,
2026-09-25 23:08,SUI,coingecko,12,
2026-09-25 23:08,BTC,coingecko,14,
2026-09-25 23:08,JUP,coingecko,15,
